         8418060 function calls (8265897 primitive calls) in 298.835 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  4000000  242.334    0.000  242.334    0.000 C:\Users\migue\OneDrive\Escritorio\Materia-Activa\Códigos Materia Activa\simulation.py:107(force)
    10001   51.017    0.005   51.017    0.005 C:\Users\migue\OneDrive\Escritorio\Materia-Activa\Códigos Materia Activa\simulation.py:189(create_cell_list)
        5    0.000    0.000    2.800    0.560 C:\Users\migue\anaconda3\lib\site-packages\numba\core\dispatcher.py:337(_compile_for_args)
    465/5    0.001    0.000    2.799    0.560 C:\Users\migue\anaconda3\lib\site-packages\numba\core\compiler_lock.py:29(_acquire_compile_lock)
     25/5    0.000    0.000    2.799    0.560 C:\Users\migue\anaconda3\lib\site-packages\numba\core\dispatcher.py:795(compile)
     11/5    0.000    0.000    2.799    0.560 C:\Users\migue\anaconda3\lib\site-packages\numba\core\dispatcher.py:77(compile)
     11/5    0.000    0.000    2.799    0.560 C:\Users\migue\anaconda3\lib\site-packages\numba\core\dispatcher.py:84(_compile_cached)
     11/5    0.000    0.000    2.799    0.560 C:\Users\migue\anaconda3\lib\site-packages\numba\core\dispatcher.py:99(_compile_core)
     11/5    0.000    0.000    2.798    0.560 C:\Users\migue\anaconda3\lib\site-packages\numba\core\compiler.py:601(compile_extra)
     20/5    0.000    0.000    2.795    0.559 C:\Users\migue\anaconda3\lib\site-packages\numba\core\compiler.py:350(compile_extra)
     20/5    0.000    0.000    2.793    0.559 C:\Users\migue\anaconda3\lib\site-packages\numba\core\compiler.py:420(_compile_bytecode)
     20/5    0.000    0.000    2.793    0.559 C:\Users\migue\anaconda3\lib\site-packages\numba\core\compiler.py:380(_compile_core)
     20/5    0.001    0.000    2.791    0.558 C:\Users\migue\anaconda3\lib\site-packages\numba\core\compiler_machinery.py:318(run)
  440/110    0.005    0.000    2.790    0.025 C:\Users\migue\anaconda3\lib\site-packages\numba\core\compiler_machinery.py:259(_runPass)
 1320/330    0.001    0.000    2.786    0.008 C:\Users\migue\anaconda3\lib\site-packages\numba\core\compiler_machinery.py:263(check)
    20/11    0.001    0.000    2.380    0.216 C:\Users\migue\anaconda3\lib\site-packages\numba\core\typed_passes.py:430(run_pass)
    20/11    0.001    0.000    2.377    0.216 C:\Users\migue\anaconda3\lib\site-packages\numba\core\typed_passes.py:347(run_pass)
    10001    0.059    0.000    1.477    0.000 C:\Users\migue\anaconda3\lib\site-packages\tqdm\std.py:1134(__iter__)
     2719    0.016    0.000    1.410    0.001 C:\Users\migue\anaconda3\lib\site-packages\tqdm\std.py:1358(refresh)
     2720    0.013    0.000    1.354    0.000 C:\Users\migue\anaconda3\lib\site-packages\tqdm\std.py:1489(display)
     20/8    0.000    0.000    1.273    0.159 C:\Users\migue\anaconda3\lib\site-packages\numba\core\typed_passes.py:85(run_pass)
     20/8    0.000    0.000    1.272    0.159 C:\Users\migue\anaconda3\lib\site-packages\numba\core\typed_passes.py:50(type_inference_stage)
     20/8    0.000    0.000    1.253    0.157 C:\Users\migue\anaconda3\lib\site-packages\numba\core\typeinfer.py:1052(propagate)
    40/16    0.002    0.000    1.253    0.078 C:\Users\migue\anaconda3\lib\site-packages\numba\core\typeinfer.py:141(propagate)
     9193    1.201    0.000    1.234    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\binding\ffi.py:111(__call__)
  214/122    0.002    0.000    1.222    0.010 C:\Users\migue\anaconda3\lib\site-packages\numba\core\typeinfer.py:568(resolve)
  267/136    0.000    0.000    1.218    0.009 C:\Users\migue\anaconda3\lib\site-packages\numba\core\typing\context.py:187(resolve_function_type)
  214/122    0.000    0.000    1.217    0.010 C:\Users\migue\anaconda3\lib\site-packages\numba\core\typeinfer.py:1498(resolve_call)
  267/136    0.001    0.000    1.216    0.009 C:\Users\migue\anaconda3\lib\site-packages\numba\core\typing\context.py:231(_resolve_user_function_type)
    70/38    0.001    0.000    1.191    0.031 C:\Users\migue\anaconda3\lib\site-packages\numba\core\typeinfer.py:558(__call__)
     20/6    0.000    0.000    1.185    0.198 C:\Users\migue\anaconda3\lib\site-packages\numba\core\types\functions.py:504(get_call_type)
     20/6    0.000    0.000    1.185    0.198 C:\Users\migue\anaconda3\lib\site-packages\numba\core\dispatcher.py:297(get_call_template)
   130/84    0.000    0.000    1.151    0.014 C:\Users\migue\anaconda3\lib\site-packages\numba\core\codegen.py:123(_ensure_finalized)
       20    0.000    0.000    1.151    0.058 C:\Users\migue\anaconda3\lib\site-packages\numba\core\codegen.py:217(finalize)
       11    0.000    0.000    1.110    0.101 C:\Users\migue\anaconda3\lib\site-packages\numba\core\cpu.py:195(get_executable)
       22    0.000    0.000    1.109    0.050 C:\Users\migue\anaconda3\lib\site-packages\numba\core\codegen.py:492(get_pointer_to_function)
    20/11    0.000    0.000    0.885    0.080 C:\Users\migue\anaconda3\lib\site-packages\numba\core\lowering.py:131(lower)
     2720    0.010    0.000    0.813    0.000 C:\Users\migue\anaconda3\lib\site-packages\tqdm\std.py:333(print_status)
    20/11    0.000    0.000    0.615    0.056 C:\Users\migue\anaconda3\lib\site-packages\numba\core\lowering.py:182(lower_normal_function)
     2720    0.011    0.000    0.610    0.000 C:\Users\migue\anaconda3\lib\site-packages\tqdm\std.py:327(fp_write)
    20/11    0.000    0.000    0.603    0.055 C:\Users\migue\anaconda3\lib\site-packages\numba\core\lowering.py:196(lower_function_body)
    46/37    0.003    0.000    0.603    0.016 C:\Users\migue\anaconda3\lib\site-packages\numba\core\lowering.py:220(lower_block)
     5442    0.008    0.000    0.600    0.000 C:\Users\migue\anaconda3\lib\site-packages\tqdm\utils.py:221(inner)
  791/703    0.004    0.000    0.593    0.001 C:\Users\migue\anaconda3\lib\site-packages\numba\core\lowering.py:321(lower_inst)
5443/2722    0.007    0.000    0.590    0.000 C:\Users\migue\anaconda3\lib\site-packages\colorama\ansitowin32.py:40(write)
5443/2722    0.009    0.000    0.585    0.000 C:\Users\migue\anaconda3\lib\site-packages\colorama\ansitowin32.py:160(write)
5443/2722    0.030    0.000    0.581    0.000 C:\Users\migue\anaconda3\lib\site-packages\colorama\ansitowin32.py:177(write_and_convert)
       20    0.000    0.000    0.573    0.029 C:\Users\migue\anaconda3\lib\site-packages\numba\core\codegen.py:141(_optimize_final_module)
       20    0.000    0.000    0.550    0.028 C:\Users\migue\anaconda3\lib\site-packages\numba\core\codegen.py:264(_finalize_final_module)
5443/2722    0.028    0.000    0.543    0.000 C:\Users\migue\anaconda3\lib\site-packages\colorama\ansitowin32.py:193(write_plain_text)
       20    0.000    0.000    0.533    0.027 C:\Users\migue\anaconda3\lib\site-packages\numba\core\codegen.py:513(_finalize_specific)
     2720    0.014    0.000    0.528    0.000 C:\Users\migue\anaconda3\lib\site-packages\tqdm\std.py:1124(__repr__)
    10000    0.147    0.000    0.528    0.000 C:\Users\migue\OneDrive\Escritorio\Materia-Activa\Códigos Materia Activa\simulation.py:131(update_phi)
       51    0.000    0.000    0.527    0.010 C:\Users\migue\anaconda3\lib\site-packages\numba\core\codegen.py:575(wrapper)
       20    0.000    0.000    0.526    0.026 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\binding\executionengine.py:87(finalize_object)
     2720    0.075    0.000    0.487    0.000 C:\Users\migue\anaconda3\lib\site-packages\tqdm\std.py:340(format_meter)
     8160    0.009    0.000    0.483    0.000 C:\Users\migue\anaconda3\lib\site-packages\tqdm\utils.py:405(disp_len)
     2721    0.470    0.000    0.470    0.000 {method 'write' of '_io.TextIOWrapper' objects}
  376/332    0.001    0.000    0.465    0.001 C:\Users\migue\anaconda3\lib\site-packages\numba\core\lowering.py:492(lower_assign)
     8160    0.012    0.000    0.462    0.000 C:\Users\migue\anaconda3\lib\site-packages\tqdm\utils.py:400(_text_width)
     8161    0.104    0.000    0.450    0.000 {built-in method builtins.sum}
  164/142    0.001    0.000    0.447    0.003 C:\Users\migue\anaconda3\lib\site-packages\numba\core\lowering.py:1001(lower_expr)
       20    0.000    0.000    0.430    0.022 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\binding\passmanagers.py:93(run)
    10000    0.381    0.000    0.381    0.000 {method 'normal' of 'numpy.random.mtrand.RandomState' objects}
       39    0.001    0.000    0.374    0.010 C:\Users\migue\anaconda3\lib\site-packages\numba\core\codegen.py:199(add_ir_module)
   910909    0.247    0.000    0.346    0.000 C:\Users\migue\anaconda3\lib\site-packages\tqdm\utils.py:401(<genexpr>)
    10000    0.338    0.000    0.338    0.000 C:\Users\migue\OneDrive\Escritorio\Materia-Activa\Códigos Materia Activa\simulation.py:138(fill_cell_list)
        9    0.000    0.000    0.316    0.035 C:\Users\migue\anaconda3\lib\site-packages\numba\core\lowering.py:233(create_cpython_wrapper)
        9    0.000    0.000    0.316    0.035 C:\Users\migue\anaconda3\lib\site-packages\numba\core\cpu.py:153(create_cpython_wrapper)
  250/230    0.006    0.000    0.259    0.001 C:\Users\migue\anaconda3\lib\site-packages\numba\core\types\functions.py:280(get_call_type)
        9    0.000    0.000    0.258    0.029 C:\Users\migue\anaconda3\lib\site-packages\numba\np\ufunc\array_exprs.py:329(_lower_array_expr)
        9    0.000    0.000    0.252    0.028 C:\Users\migue\anaconda3\lib\site-packages\numba\core\callwrapper.py:101(build)
        9    0.000    0.000    0.251    0.028 C:\Users\migue\anaconda3\lib\site-packages\numba\core\callwrapper.py:126(build_wrapper)
97661/57707    0.092    0.000    0.230    0.000 {method 'format' of 'str' objects}
1445/1306    0.002    0.000    0.225    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\typing\templates.py:343(apply)
       52    0.001    0.000    0.214    0.004 C:\Users\migue\anaconda3\lib\site-packages\numba\core\callconv.py:542(call_function)
     2720    0.005    0.000    0.205    0.000 C:\Users\migue\anaconda3\lib\site-packages\tqdm\utils.py:413(disp_trim)
      197    0.000    0.000    0.193    0.001 C:\Users\migue\anaconda3\lib\site-packages\numba\core\callconv.py:154(_get_arg_packer)
      197    0.000    0.000    0.193    0.001 C:\Users\migue\anaconda3\lib\site-packages\numba\core\base.py:328(get_arg_packer)
      197    0.002    0.000    0.192    0.001 C:\Users\migue\anaconda3\lib\site-packages\numba\core\datamodel\packer.py:73(__init__)
       59    0.001    0.000    0.192    0.003 C:\Users\migue\anaconda3\lib\site-packages\numba\core\runtime\nrtopt.py:159(remove_redundant_nrt_refct)
      185    0.001    0.000    0.186    0.001 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\ir\module.py:233(__repr__)
       24    0.000    0.000    0.186    0.008 C:\Users\migue\anaconda3\lib\site-packages\numba\core\base.py:850(compile_subroutine)
        9    0.000    0.000    0.185    0.021 C:\Users\migue\anaconda3\lib\site-packages\numba\core\base.py:820(_compile_subroutine_no_cache)
5157/2358    0.184    0.000    0.184    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\datamodel\packer.py:144(rec)
      185    0.001    0.000    0.184    0.001 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\ir\module.py:207(_get_body_lines)
      185    0.001    0.000    0.183    0.001 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\ir\module.py:212(<listcomp>)
  432/394    0.000    0.000    0.180    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\typing\templates.py:592(generic)
    10000    0.180    0.000    0.180    0.000 C:\Users\migue\OneDrive\Escritorio\Materia-Activa\Códigos Materia Activa\simulation.py:172(update_positions)
  432/394    0.001    0.000    0.180    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\typing\templates.py:669(_get_impl)
    21/20    0.000    0.000    0.178    0.009 C:\Users\migue\anaconda3\lib\site-packages\numba\core\typing\templates.py:682(_build_impl)
      378    0.000    0.000    0.175    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\ir\values.py:668(__str__)
      378    0.000    0.000    0.174    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\ir\values.py:661(descr)
      226    0.002    0.000    0.165    0.001 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\binding\module.py:11(parse_assembly)
       42    0.000    0.000    0.158    0.004 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\ir\values.py:654(descr_body)
     1018    0.002    0.000    0.157    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\ir\values.py:797(descr)
42477/18473    0.023    0.000    0.156    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\ir\_utils.py:44(__str__)
     1018    0.003    0.000    0.153    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\ir\values.py:799(<listcomp>)
      220    0.002    0.000    0.145    0.001 C:\Users\migue\anaconda3\lib\site-packages\numba\core\postproc.py:68(run)
        9    0.000    0.000    0.142    0.016 C:\Users\migue\anaconda3\lib\site-packages\numba\core\compiler.py:694(compile_internal)
      610    0.004    0.000    0.140    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\errors.py:275(_markup)
